id,name,address,lat,lng,spot_a,base_date,spot_a_sun_start,spot_a_sun_end,spot_b,spot_b_sun_start,spot_b_sun_end,image_url,notes
king_william_iv,King William IV,"6 Eyre St, Sneinton, NG2 4RG",52.9515,-1.1352,Terrace on the roof,2026-08-15,13:04,17:03,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,"Lovely friendly pub, serving food on thurs to Sat"
fox_and_grapes,Fox & Grapes,"21 Southwell Rd, NG1 1DL",52.9535,-1.139,Table on the left side of entrance,2026-08-15,07:25,11:35,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
neon_raptor,Neon Raptor,"Unit 14 Avenue A, Sneinton Market, NG1 1DT",52.954,-1.1394,Table on the left side of entrance,2026-08-15,11:31,19:51,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
liquid_light,Liquid Light,Robin Hood Industrial Est,52.9538,-1.1385,Font Bench,2026-08-15,18:58,20:16,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
bunkers_hill,Bunkers Hill,"36-38 Hockley, NG1 1FP",52.9545,-1.1418,Font Bench,2026-08-15,07:07,11:13,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
lord_roberts,Lord Roberts,"24 Broad St, NG1 3AN",52.9554,-1.1444,Courtyard,2026-08-15,07:23,18:58,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
lion_at_basford,Lion At Basford,"44 Mosley St, New Basford, NG7 7FQ",52.9774,-1.1712,Large garden area,2026-08-15,09:00,19:31,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
trip_to_jerusalem,Trip to Jerusalem,"1 Brewhouse Yard, NG1 6AD",52.9494,-1.1526,Beer Garden,2026-08-15,13:16,17:35,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
lincolnshire_poacher,Lincolnshire poacher,"161-163 Mansfield Rd, NG1 3FR",52.9628,-1.1504,Courtyard,2026-08-15,14:27,17:13,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
sir_john_borlase,Sir John Borlase Warren,"1 Ilkeston Rd, Canning Circus, NG7 3GD",52.9567,-1.1611,Terrace at back of pub,2026-08-15,14:49,17:34,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
blue_monkey,Blue Monkey,"10 Pentrich Rd, Giltbrook, NG16 2UZ",53.0035,-1.2721,Font Bench,2027-08-15,07:00,11:00,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_angel,The angel,"7 Stoney St, NG1 1LG",52.9534,-1.1434,Table in front of pub,2026-08-15,15:15,16:55,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
junkyard_and_kilpin,Junkyard/kilpin,"12 Bridlesmith Walk, NG1 2FZ",52.9525,-1.1472,Down an alley,2026-08-15,12:24,14:58,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
pitcher_and_piano,Pitcher and Piano,"High Pavement, NG1 1HN",52.9515,-1.1445,Terrace at back of pub,2026-08-15,13:22,18:46,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
navigation,Navigation,"6 Wilford St, NG2 1AA",52.9478,-1.1517,Canelside Seating,2026-08-15,10:22,18:51,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
bodega,bodega,"23 Pelham St, NG1 2ED",52.9543,-1.1465,Table on the right side of entrance,2026-08-15,12:10,14:09,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_magic_garden,The magic garden,"24-26 Low Pavement, NG1 7DL",52.9511,-1.1468,Tables in alley,2026-08-15,12:25,13:59,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
another,Another,"9 Trinity Walk, NG1 2AN",52.9549,-1.1487,Roof,2027-08-15,16:27,19:02,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_pelcian_club,The Pelcian Club,"55 St Mary's Gate, NG1 1PU",52.9523,-1.1436,Courtyard,2026-08-15,16:46,18:56,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_playhouse,Playhouse,"Wellington Circus, NG1 5AL",52.9539,-1.1554,Table in front of pub,2026-08-15,12:33,17:07,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_roundhouse,Roundhouse,"Royal Standard Place, NG1 6FS",52.9526,-1.1557,Table in front of pub,2026-08-15,09:20,20:04,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
castle_and_fothergills,Castle and Fothergills,"5-7 Castle Rd, NG1 6AA",52.9497,-1.1534,Table in front of pub,2026-08-15,11:37,20:05,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
bustler_street_market,Bustler Street Market,"Avenue E, Sneinton Market, NG1 1DW",52.9542,-1.1388,Table in front of pub,2026-08-15,15:54,20:25,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_organ_grinder,The Organ Grinder,"21 Alfreton Rd, NG7 3JE",52.9575,-1.1614,Terrace at back of pub,2026-08-15,13:44,18:09,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_blind_rabbit,The Blind Rabbit,"9 Weekday Cross, NG1 2GB",52.9515,-1.1458,Table in front of pub,2026-08-15,12:47,18:45,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
blend_,Blend,"Unit 30 Avenue C, NG1 1DW",52.9541,-1.1396,Bench on Pavment,2026-08-15,10:09,19:08,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
cafe_coco_tang,Café Coco Tang,"8 Byard Ln, NG1 2GJ",52.9532,-1.1471,Roof,2026-08-15,10:47,15:46,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
hopkinson_,Hopkinson,"21 Station St, NG2 3AJ",52.9472,-1.1466,Bench on Pavment,2026-08-15,09:32,19:43,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
embankment_pub,Embankment Pub,"282-284 Arkwright St, NG2 2GR",52.9405,-1.1417,Beer Garden,2026-08-15,13:38,17:01,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_vat_and_fiddle,The Vat & Fiddle,"12 Queensbridge Rd, NG2 1NB",52.9461,-1.1472,Font Bench,2026-08-15,08:02,15:25,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_bath_inn,The Bath Inn,"1 Handley St, Sneinton, NG2 4AD",52.9518,-1.1371,Font Bench,2026-08-15,11:27,20:21,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
cured_,Cured,"97 Carrington St, NG1 7FE",52.9482,-1.1464,Down stairs by the canal,2026-08-15,10:18,19:18,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_newshouse,The Newshouse,"123 Canal St, NG1 7HB",52.9474,-1.1492,Terrace at back of pub,2026-08-15,14:48,19:08,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
cock_and_hoop,Cock & Hoop,"25-27 High Pavement, NG1 1HE",52.9511,-1.1444,Table in front of pub,2026-08-15,09:00,10:40,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
jamcafe_,Jamcafé,"12 Heathcoat St, NG1 3AA",52.9555,-1.1448,Table in front of pub,2026-08-15,13:42,15:15,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_ned_ludd,The Ned Ludd,"27 Friar Ln, NG1 6BT",52.9529,-1.1511,Table in front of pub,2026-08-15,16:34,19:44,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_barrel_drop,The Barrel Drop,"7 Hurts Yard, NG1 6JD",52.9542,-1.1517,Roof,2027-08-15,11:47,12:50,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
johnson_arms,Johnson Arms,"59 Abbey St, Dunkirk, NG7 2NZ",52.9379,-1.1768,Large garden area,2026-08-15,8:55,14:30,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_boat_inn,The Boat Inn,"Priory St, Lenton, NG7 2NX",52.9412,-1.1746,Beer Garden,2027-08-15,09:10,16:30,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
lakeside_,"Lakeside Arts - theatre, gallery & Pavilion Café","University Park, NG7 2RD",52.9378,-1.1942,Tables outside the cafe,2026-08-15,11:40,18:08,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
broadway_cinema,Broadway Cinema,"14-18 Broad St, NG1 3AL",52.9551,-1.1444,Table in front of pub,2026-08-15,13:04,19:00,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_grosvenor,The Grosvenor,"293 Mansfield Rd, Carrington, NG5 2BY",52.9734,-1.1558,Table in front of pub,2026-08-15,09:20,17:10,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_gladstone,The Gladstone,"45 Loscoe Rd, Carrington, NG5 2AW",52.9748,-1.1542,Back Garden,2026-08-15,14:16,18:49,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
duke_of_cambridge,Duke Of Cambridge,"548 Woodborough Rd, Mapperley, NG3 5FH",52.9765,-1.1362,Terrace at back of pub,2026-08-15,11:09,17:18,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_robin_hood,The Robin Hood,"161 Church St, Arnold, NG5 6ND",52.9998,-1.1312,Beer Garden,2026-08-15,12:46,17:25,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
binks_yard,Binks Yard,"1 Island Quarter, Seely Rd, NG2 3BZ",52.9484,-1.1412,Courtyard,2026-08-15,09:03,13:02,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_lord_nelson,The Lord Nelson,"Lord Nelson St, Sneinton, NG2 4FJ",52.9508,-1.1278,Beer Garden,2026-08-15,08:24,17:14,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_canal_house,The Canal House,"48-52 Canal Street, Nottingham, NG1 7EH",52.9483,-1.1485,Terrace at back of pub,2026-08-15,09:48,18:50,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,